model,task,protocol,degree,split,geometries,identity_error_median,identity_error_mean,harmonic_preservation_median,harmonic_to_nonharmonic_leakage_median
RIGNO,B-k1,B,1,test_ood,4,0.12796838954091064,0.1376654710620641,0.04768740385770795,0.11988419666886324
RIGNO,C-k2,C,2,test_iid,4,0.44649629294872284,0.43713512271642685,0.40891826152801514,0.18637420982122416
RIGNO,C-k2,C,2,test_ood,4,0.3625754565000534,0.3600083887577057,0.2956615090370178,0.19310525059700012
RIGNO,D-k1,D,1,test_iid,4,0.10528705269098275,0.10632399655878537,0.0528647676110267,0.08791396394371985
RIGNO,D-k1,D,1,test_ood,4,0.11680002883076665,0.11903687566518781,0.0397433470934629,0.1087611243128776
RIGNO,D-k2,D,2,test_iid,4,0.4483471363782882,0.4668232724070549,0.3999076634645462,0.20389477163553235
RIGNO,D-k2,D,2,test_ood,2,0.467953085899353,0.467953085899353,0.4141860604286194,0.21700015664100647
TNO,A-k1,A,1,test_iid,4,0.0856567360460758,0.08050588890910147,0.00340457132551815,0.08562656119465825
TNO,A-k1,A,1,test_ood,4,0.0550256315618753,0.0636427570134401,0.01114592980593435,0.0542239267379045
TNO,A-k2,A,2,test_iid,4,0.21091014891862864,0.2127321772277355,0.03748130239546295,0.2075482383370399
TNO,A-k2,A,2,test_ood,4,0.33864448964595795,0.3491634428501129,0.17887207120656967,0.28407428413629526
TNO,B-k1,B,1,test_iid,4,0.06896601058542724,0.08795649651437992,0.0139030376449227,0.06590712815523145
TNO,B-k1,B,1,test_ood,4,0.8669820725917816,0.8464611619710922,0.11324488744139664,0.8594357371330261
TNO,C-k2,C,2,test_iid,4,0.33551186323165894,0.3046731688082218,0.1717264577746391,0.26686891913414
TNO,C-k2,C,2,test_ood,4,0.3012710362672805,0.3173015676438808,0.18376358598470685,0.23647346347570414
TNO,D-k1,D,1,test_iid,4,0.3540879487991333,0.3717164508998394,0.0605726186186075,0.3445559479296207
TNO,D-k1,D,1,test_ood,4,0.6599430739879608,0.6474453955888748,0.0950563661754131,0.6529732346534729
TNO,D-k2,D,2,test_iid,4,0.3170202374458313,0.289753969758749,0.1290996558964252,0.2559165060520172
TNO,D-k2,D,2,test_ood,4,0.36002641916275024,0.37046489864587784,0.2040377333760261,0.2956497520208359
Transolver,A-k1,A,1,test_iid,4,0.18831402063369745,0.203265331685543,0.13738064467906952,0.13600970804691315
Transolver,A-k1,A,1,test_ood,4,0.2991800904273987,0.2976696193218231,0.22250737249851227,0.1998134478926658
Transolver,A-k2,A,2,test_iid,4,0.35605667531490326,0.34930796176195145,0.2914388030767441,0.20447462797164911
Transolver,A-k2,A,2,test_ood,4,0.3595256060361862,0.3621482253074646,0.30585111677646637,0.18760249763727185
Transolver,B-k1,B,1,test_iid,4,0.23059012740850443,0.2303368672728538,0.1835273802280426,0.139591209590435
Transolver,B-k1,B,1,test_ood,4,0.25603552907705307,0.2520049437880516,0.2192365527153015,0.13051689416170115
Transolver,C-k2,C,2,test_iid,4,0.36526763439178467,0.36324343085289,0.32633399963378906,0.17946196347475046
Transolver,C-k2,C,2,test_ood,4,0.405845507979393,0.39702531695365906,0.3629692494869232,0.1801087409257888
Transolver,D-k1,D,1,test_iid,4,0.21940976381301874,0.22525232657790178,0.1806296035647392,0.14108327031135554
Transolver,D-k1,D,1,test_ood,4,0.2446487918496132,0.2559513859450817,0.2287150025367736,0.08913215622305865
Transolver,D-k2,D,2,test_iid,4,0.3629895895719528,0.369680292904377,0.3185950368642807,0.1870293915271759
Transolver,D-k2,D,2,test_ood,4,0.42401327192783356,0.41948746144771576,0.3871776312589645,0.1624141186475753
