model,model_key,protocol,degree,task,seed,split,geometry_id,beta1,beta2,harmonic_dimension,basis_index,probe_mode,pure_harmonic_identity_error,harmonic_preservation_error,harmonic_to_nonharmonic_leakage,predicted_norm,coefficient_identity_error
MGN-lite,mgn-lite,D,2,D-k2,0,test_iid,PD_test_iid_0199_b01,0,1,1,0,combined,0.2034992724657058,0.182412564754486,0.0902086421847343,0.8225489258766174,0.1824126839637756
MGN-lite,mgn-lite,D,2,D-k2,0,test_ood,PD_test_ood_0000_b33,3,3,3,0,combined,0.2169646620750427,0.114372469484806,0.1843708157539367,0.9118834137916564,0.114372469484806
MGN-lite,mgn-lite,D,2,D-k2,0,test_ood,PD_test_ood_0066_b33,3,3,3,0,combined,0.2408063858747482,0.1537094861268997,0.1853674948215484,0.8788164854049683,0.1537097543478012
MGN-lite,mgn-lite,D,2,D-k2,0,test_ood,PD_test_ood_0132_b33,3,3,3,0,combined,0.2363176196813583,0.1301008909940719,0.1972809433937072,0.9000723958015442,0.1301008909940719
MGN-lite,mgn-lite,D,2,D-k2,0,test_ood,PD_test_ood_0199_b33,3,3,3,0,combined,0.1921602338552475,0.1581718772649765,0.109120175242424,0.8578619956970215,0.1581718921661377
Transolver,transolver,A,1,A-k1,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.1846961081027984,0.1253813803195953,0.1356177181005478,0.8850705623626709,0.1253814101219177
Transolver,transolver,A,1,A-k1,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.2527295053005218,0.1732730269432068,0.1839800626039505,0.8469511270523071,0.1732729077339172
Transolver,transolver,A,1,A-k1,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.1919319331645965,0.1493799090385437,0.1205135509371757,0.8591147065162659,0.1493799686431884
Transolver,transolver,A,1,A-k1,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.1837037801742553,0.1230513975024223,0.1364016979932785,0.8874932527542114,0.1230514645576477
Transolver,transolver,A,1,A-k1,0,test_ood,PA_test_ood_0000_b11,1,1,1,0,combined,0.2694404423236847,0.1756516396999359,0.2043150514364242,0.8492907881736755,0.1756517887115478
Transolver,transolver,A,1,A-k1,0,test_ood,PA_test_ood_0066_b11,1,1,1,0,combined,0.3228778541088104,0.2690171897411346,0.1785493493080139,0.7524731159210205,0.2690171003341675
Transolver,transolver,A,1,A-k1,0,test_ood,PA_test_ood_0132_b11,1,1,1,0,combined,0.3026710152626037,0.2308443486690521,0.1957565397024154,0.7936756610870361,0.2308443188667297
Transolver,transolver,A,1,A-k1,0,test_ood,PA_test_ood_0199_b11,1,1,1,0,combined,0.2956891655921936,0.2141703963279724,0.2038703560829162,0.8118443489074707,0.2141705155372619
Transolver,transolver,A,2,A-k2,0,test_iid,PA_test_iid_0000_b11,1,1,1,0,combined,0.3196012079715729,0.2647164165973663,0.179081305861473,0.7567773461341858,0.2647164463996887
Transolver,transolver,A,2,A-k2,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.3925121426582336,0.3181611895561218,0.2298679500818252,0.7195439338684082,0.3181612491607666
Transolver,transolver,A,2,A-k2,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.3957216441631317,0.3214409947395324,0.2308056205511093,0.7167380452156067,0.321441113948822
Transolver,transolver,A,2,A-k2,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.2893968522548675,0.2500464022159576,0.145696148276329,0.7639750242233276,0.2500463724136352
Transolver,transolver,A,2,A-k2,0,test_ood,PA_test_ood_0000_b11,1,1,1,0,combined,0.3404719233512878,0.3078000545501709,0.1455340981483459,0.7073335647583008,0.3078002333641052
Transolver,transolver,A,2,A-k2,0,test_ood,PA_test_ood_0066_b11,1,1,1,0,combined,0.348247766494751,0.296265959739685,0.1830383241176605,0.7271483540534973,0.2962660193443298
Transolver,transolver,A,2,A-k2,0,test_ood,PA_test_ood_0132_b11,1,1,1,0,combined,0.3708034455776214,0.3039021790027618,0.2124586403369903,0.7277987003326416,0.3039019107818603
Transolver,transolver,A,2,A-k2,0,test_ood,PA_test_ood_0199_b11,1,1,1,0,combined,0.3890697658061981,0.3383005559444427,0.1921666711568832,0.6890385746955872,0.3383005261421203
Transolver,transolver,B,1,B-k1,0,test_iid,PB_test_iid_0000_b10,1,0,1,0,combined,0.2301138639450073,0.1843288391828537,0.1377507299184799,0.8272210955619812,0.1843288540840149
Transolver,transolver,B,1,B-k1,0,test_iid,PB_test_iid_0066_b10,1,0,1,0,combined,0.2383086681365966,0.1913008838891983,0.1421090364456176,0.8210902810096741,0.1913008689880371
Transolver,transolver,B,1,B-k1,0,test_iid,PB_test_iid_0132_b10,1,0,1,0,combined,0.2310663908720016,0.1827259212732315,0.1414316892623901,0.8294214010238647,0.1827259659767151
Transolver,transolver,B,1,B-k1,0,test_iid,PB_test_iid_0198_b10,1,0,1,0,combined,0.2218585461378097,0.1797563135623932,0.1300341337919235,0.8304869532585144,0.1797563433647155
Transolver,transolver,B,1,B-k1,0,test_ood,PB_test_ood_0000_b30,3,0,3,0,combined,0.2654731571674347,0.2363506555557251,0.1208899021148681,0.797834575176239,0.2363506406545639
