model,protocol,degree,task,split,harmonic_error_energy_share,target_harmonic_energy_fraction_mean,harmonic_error_share_over_target_share
GNOT,D,2,D-k2,test_ood,0.46055466058363814,0.3148148184021314,1.462938316948425
MGN-lite,A,1,A-k1,test_iid,0.16491248658719246,0.3148148184021314,0.5238396573078085
MGN-lite,A,1,A-k1,test_ood,0.18465586532794168,0.3148148184021314,0.5865539184755589
MGN-lite,A,2,A-k2,test_iid,0.2775639908350877,0.3148148184021314,0.8816738431941885
MGN-lite,A,2,A-k2,test_ood,0.5004409267809928,0.3148148184021314,1.5896358669551265
MGN-lite,B,1,B-k1,test_iid,0.192557513708976,0.3148148184021314,0.6116532718704842
MGN-lite,B,1,B-k1,test_ood,0.17004709094161666,0.3148148184021314,0.5401495768360102
MGN-lite,C,2,C-k2,test_iid,0.5108389599201115,0.3148148184021314,1.6226649130206667
MGN-lite,C,2,C-k2,test_ood,0.44205806314334184,0.3148148184021314,1.4041844198663966
MGN-lite,D,1,D-k1,test_iid,0.23668859000548723,0.3148148184021314,0.7518343361561559
MGN-lite,D,1,D-k1,test_ood,0.18011938989891887,0.3148148184021314,0.5721439378652178
MGN-lite,D,2,D-k2,test_iid,0.39089992745023144,0.3148148184021314,1.241682108339996
MGN-lite,D,2,D-k2,test_ood,0.2092164867463225,0.3148148184021314,0.6645700091508338
RIGNO,A,1,A-k1,test_iid,0.09443489422018203,0.3148148184021314,0.29996966057536345
RIGNO,A,1,A-k1,test_ood,0.10373016173323191,0.3148148184021314,0.32949580410389484
RIGNO,A,2,A-k2,test_iid,0.2120073875933857,0.3148148184021314,0.6734352235051917
RIGNO,A,2,A-k2,test_ood,0.25789641296962823,0.3148148184021314,0.8192003612746146
RIGNO,B,1,B-k1,test_iid,0.13489251559159868,0.3148148184021314,0.4284821034672281
RIGNO,B,1,B-k1,test_ood,0.17939425787913366,0.3148148184021314,0.5698405773580292
RIGNO,C,2,C-k2,test_iid,0.40700422435735883,0.3148148184021314,1.2928369332267853
RIGNO,C,2,C-k2,test_ood,0.42736134092176775,0.3148148184021314,1.3575007145180635
RIGNO,D,1,D-k1,test_iid,0.14173186585266073,0.3148148184021314,0.45020709816657467
RIGNO,D,1,D-k1,test_ood,0.21170844084069562,0.3148148184021314,0.672485627948644
RIGNO,D,2,D-k2,test_iid,0.44124214496316577,0.3148148184021314,1.4015926797941938
RIGNO,D,2,D-k2,test_ood,0.5618390460697814,0.3148148184021314,1.7846651848265653
TNO,A,1,A-k1,test_iid,0.002749479399658453,0.3148148184021314,0.00873364034645403
TNO,A,1,A-k1,test_ood,0.0022429471518632827,0.3148148184021314,0.007124655577674349
TNO,A,2,A-k2,test_iid,0.003050892056299674,0.3148148184021314,0.00969106877428683
TNO,A,2,A-k2,test_ood,0.004068330628863199,0.3148148184021314,0.012922932438543863
TNO,B,1,B-k1,test_iid,0.0037737000482413246,0.3148148184021314,0.01198704707546821
TNO,B,1,B-k1,test_ood,0.010407053693659896,0.3148148184021314,0.03305769959140347
TNO,C,2,C-k2,test_iid,0.004122151227386421,0.3148148184021314,0.01309389198484601
TNO,C,2,C-k2,test_ood,0.008900025131045295,0.3148148184021314,0.028270667741175932
TNO,D,1,D-k1,test_iid,0.004661297797638658,0.3148148184021314,0.014806475188485282
TNO,D,1,D-k1,test_ood,0.012448611470543746,0.3148148184021314,0.03954264774996203
TNO,D,2,D-k2,test_iid,0.003945263792107238,0.3148148184021314,0.012532014255655914
TNO,D,2,D-k2,test_ood,0.004671966166026916,0.3148148184021314,0.014840362946508891
Transolver,A,1,A-k1,test_iid,0.20856919953501832,0.3148148184021314,0.6625139203854142
Transolver,A,1,A-k1,test_ood,0.2174413717732115,0.3148148184021314,0.6906961142326563
Transolver,A,2,A-k2,test_iid,0.35602982047681214,0.3148148184021314,1.130918240392466
Transolver,A,2,A-k2,test_ood,0.46323738942706144,0.3148148184021314,1.4714599261186658
Transolver,B,1,B-k1,test_iid,0.26687574484298876,0.3148148184021314,0.8477229445473331
Transolver,B,1,B-k1,test_ood,0.34644616851606047,0.3148148184021314,1.1004760521581438
Transolver,C,2,C-k2,test_iid,0.43888229667897255,0.3148148184021314,1.3940966912121733
Transolver,C,2,C-k2,test_ood,0.522315980877938,0.3148148184021314,1.6591213321183413
Transolver,D,1,D-k1,test_iid,0.29390830547386115,0.3148148184021314,0.9335910773375188
Transolver,D,1,D-k1,test_ood,0.3488813011460931,0.3148148184021314,1.1082111792477527
Transolver,D,2,D-k2,test_iid,0.555471619368506,0.3148148184021314,1.7644392414176946
Transolver,D,2,D-k2,test_ood,0.5084717417207022,0.3148148184021314,1.6151455141199913
