model,protocol,degree,task,split,harmonic_dimension,geometries,leakage_mean,leakage_median,leakage_per_sqrt_dimension_mean
TNO,B,1,B-k1,test_iid,2,66,0.004225867740567126,0.0036218209117103153,0.0029881397357524888
TNO,B,1,B-k1,test_ood,3,200,0.006943458394599102,0.006072958676021061,0.004008807573228759
TNO,C,2,C-k2,test_iid,0,66,0.0,0.0,
TNO,C,2,C-k2,test_iid,1,67,0.0014946925121102372,0.0013708826154470444,0.0014946925121102372
TNO,C,2,C-k2,test_iid,2,67,0.0029501682017374045,0.0025281015089775186,0.002086083941089441
TNO,C,2,C-k2,test_ood,3,200,0.003710951568657939,0.0034646927794774866,0.0021425188871143255
TNO,D,1,D-k1,test_iid,0,67,0.0,0.0,
TNO,D,1,D-k1,test_iid,1,67,0.0029237589841437485,0.0021245600655674934,0.0029237589841437485
TNO,D,1,D-k1,test_iid,2,66,0.005049854448863965,0.004574939221628415,0.0035707863247967653
TNO,D,1,D-k1,test_ood,3,200,0.0076731677008450225,0.007445886783771822,0.004430105437620016
TNO,D,2,D-k2,test_iid,0,67,0.0,0.0,
TNO,D,2,D-k2,test_iid,1,67,0.0023004259929797653,0.0019624056294560432,0.0023004259929797653
TNO,D,2,D-k2,test_iid,2,66,0.0033180981268809847,0.0031648260731344134,0.0023462496861599252
TNO,D,2,D-k2,test_ood,3,200,0.0033905035523870168,0.0032020384348760414,0.0019575081386590267
Transolver,A,1,A-k1,test_iid,1,200,0.012646811156882905,0.00931424181908369,0.012646811156882905
Transolver,A,1,A-k1,test_ood,1,200,0.013987257196567952,0.010478827636688948,0.013987257196567952
Transolver,A,2,A-k2,test_iid,1,200,0.004637682625470916,0.0021293663885444403,0.004637682625470916
Transolver,A,2,A-k2,test_ood,1,200,0.010738954392072628,0.004903928143903613,0.010738954392072628
Transolver,B,1,B-k1,test_iid,0,67,0.0,0.0,
Transolver,B,1,B-k1,test_iid,1,67,0.013023725260785823,0.009317499585449696,0.013023725260785823
Transolver,B,1,B-k1,test_iid,2,66,0.01992965412909503,0.016289234080617533,0.014092393581385572
Transolver,B,1,B-k1,test_ood,3,200,0.020762843993359693,0.018764577993412593,0.011987433568708426
Transolver,C,2,C-k2,test_iid,0,66,0.0,0.0,
Transolver,C,2,C-k2,test_iid,1,67,0.0035936811334217216,0.0015384822618216276,0.0035936811334217216
Transolver,C,2,C-k2,test_iid,2,67,0.007164032772356778,0.004155266613536632,0.0050657361539761395
Transolver,C,2,C-k2,test_ood,3,200,0.009940072382313248,0.005969358248941267,0.005738903465692919
Transolver,D,1,D-k1,test_iid,0,67,0.0,0.0,
Transolver,D,1,D-k1,test_iid,1,67,0.00896223302002746,0.0068280696868896484,0.00896223302002746
Transolver,D,1,D-k1,test_iid,2,66,0.01319057317373613,0.011980129994072167,0.009327143738886177
Transolver,D,1,D-k1,test_ood,3,200,0.015176385002602613,0.014468217952403436,0.008762089966578018
Transolver,D,2,D-k2,test_iid,0,67,0.0,0.0,
Transolver,D,2,D-k2,test_iid,1,67,0.004074267003122273,0.0022844821214675903,0.004074267003122273
Transolver,D,2,D-k2,test_iid,2,66,0.007965174396664464,0.005252680163283727,0.005632228829214909
Transolver,D,2,D-k2,test_ood,3,200,0.0070057119199736,0.0047962301482667585,0.0040447496628617284
