model,protocol,degree,task,split,samples,harmonic_relative_median,nonharmonic_relative_median,median_paired_harmonic_over_nonharmonic,fraction_harmonic_easier
MGN-lite,A,1,A-k1,test_iid,600,0.08597736060619354,0.30328744649887085,0.27592144728485873,0.9833333333333333
MGN-lite,A,1,A-k1,test_ood,600,0.0965917818248272,0.31136807799339294,0.28774557452807936,0.9716666666666667
MGN-lite,A,2,A-k2,test_iid,600,0.11339432373642921,1.0009249448776245,0.10591921027734985,1.0
MGN-lite,A,2,A-k2,test_ood,600,0.2772931456565857,1.2078195810317993,0.2085347186520985,0.9866666666666667
MGN-lite,B,1,B-k1,test_iid,399,0.10692059993743896,0.3363151550292969,0.3065530787238617,0.9699248120300752
MGN-lite,B,1,B-k1,test_ood,600,0.12004448473453522,0.3722189664840698,0.31707665932573825,0.99
MGN-lite,C,2,C-k2,test_iid,402,0.21727433055639267,0.9577582478523254,0.22090518136544096,1.0
MGN-lite,C,2,C-k2,test_ood,600,0.23908428102731705,1.200892686843872,0.1888496397685797,1.0
MGN-lite,D,1,D-k1,test_iid,399,0.13604478538036346,0.3585103154182434,0.35089669772143406,0.9649122807017544
MGN-lite,D,1,D-k1,test_ood,600,0.13250309973955154,0.4118887037038803,0.31265530686119275,0.9733333333333334
MGN-lite,D,2,D-k2,test_iid,399,0.18357878923416138,1.068551778793335,0.151663162969083,1.0
MGN-lite,D,2,D-k2,test_ood,600,0.13360267132520676,1.2495303750038147,0.09757328577211924,1.0
RIGNO,A,1,A-k1,test_iid,600,0.07922039019142427,0.3905746202382272,0.1834564510918042,0.995
RIGNO,A,1,A-k1,test_ood,600,0.08223851683092771,0.3796503120481898,0.20090957774975587,0.995
RIGNO,A,2,A-k2,test_iid,600,0.13148691470491664,1.2797915577850838,0.0970517285453778,0.9983333333333333
RIGNO,A,2,A-k2,test_ood,600,0.1608754093077998,1.3481870283393191,0.11000547432028443,1.0
RIGNO,B,1,B-k1,test_iid,399,0.08227190541525384,0.3438938582140468,0.23532423475103306,0.9974937343358395
RIGNO,B,1,B-k1,test_ood,600,0.11871131991465327,0.3496684939576198,0.31670290504020043,0.9883333333333333
RIGNO,C,2,C-k2,test_iid,402,0.23481534775114243,1.337823888230075,0.16436923178901763,1.0
RIGNO,C,2,C-k2,test_ood,600,0.2698641137396634,1.4367524625979695,0.17410251963368667,1.0
RIGNO,D,1,D-k1,test_iid,399,0.09078973767856449,0.35924661784813944,0.24709522838189982,0.9899749373433584
RIGNO,D,1,D-k1,test_ood,600,0.1410787738446947,0.3840155266940204,0.3489195035330781,0.9766666666666667
RIGNO,D,2,D-k2,test_iid,399,0.2525634011664195,1.3977634572232762,0.17155219993238469,1.0
RIGNO,D,2,D-k2,test_ood,600,0.32597288772585453,1.4350931484086695,0.21683933128258645,1.0
TNO,A,1,A-k1,test_iid,600,0.0039867195300757885,0.13662049174308777,0.02702550340264996,1.0
TNO,A,1,A-k1,test_ood,600,0.0037397093838080764,0.13832411170005798,0.024930450421925918,1.0
TNO,A,2,A-k2,test_iid,600,0.0038797027664259076,0.3902358412742615,0.009527199100500977,1.0
TNO,A,2,A-k2,test_ood,600,0.004113819915801287,0.38746677339076996,0.009972195925255448,1.0
TNO,B,1,B-k1,test_iid,399,0.005458542611449957,0.14646539092063904,0.03339676550618998,1.0
TNO,B,1,B-k1,test_ood,600,0.009611367713660002,0.13902422785758972,0.06458796164851778,1.0
TNO,C,2,C-k2,test_iid,402,0.0038468160200864077,0.31114573776721954,0.011519841493198723,1.0
TNO,C,2,C-k2,test_ood,600,0.006524439202621579,0.3133231848478317,0.02040931681255287,1.0
TNO,D,1,D-k1,test_iid,399,0.005961176007986069,0.1458945870399475,0.03960939164263042,1.0
TNO,D,1,D-k1,test_ood,600,0.012616241816431284,0.15410307049751282,0.07618415496526479,1.0
TNO,D,2,D-k2,test_iid,399,0.004851775709539652,0.396320104598999,0.011932248390127144,1.0
TNO,D,2,D-k2,test_ood,600,0.007240795064717531,0.5170462429523468,0.01374391099213341,1.0
Transolver,A,1,A-k1,test_iid,600,0.18649862706661224,0.5698669850826263,0.30507346766486765,0.9483333333333334
Transolver,A,1,A-k1,test_ood,600,0.1912536546587944,0.5493059158325195,0.3336686352079492,0.93
Transolver,A,2,A-k2,test_iid,600,0.21844325214624405,1.6761130690574646,0.1151382794044744,0.9283333333333333
Transolver,A,2,A-k2,test_ood,600,0.3040751814842224,1.6521957516670227,0.16069687679279865,0.8916666666666667
Transolver,B,1,B-k1,test_iid,399,0.2324148267507553,0.5575190186500549,0.38538377306067934,0.9022556390977443
Transolver,B,1,B-k1,test_ood,600,0.30429063737392426,0.5636358857154846,0.5192513365557818,0.87
Transolver,C,2,C-k2,test_iid,402,0.2877476364374161,1.7378320097923279,0.15152241768836347,0.9054726368159204
Transolver,C,2,C-k2,test_ood,600,0.40055178105831146,1.8889284133911133,0.19762478710284187,0.8933333333333333
Transolver,D,1,D-k1,test_iid,399,0.22282369434833527,0.5081728100776672,0.38285123990256187,0.8546365914786967
Transolver,D,1,D-k1,test_ood,600,0.2731580585241318,0.5150192677974701,0.48604698674169644,0.8683333333333333
Transolver,D,2,D-k2,test_iid,399,0.3673759698867798,1.661946177482605,0.19030681780011222,0.8345864661654135
Transolver,D,2,D-k2,test_ood,600,0.383568212389946,1.8555207252502441,0.1908168982454213,0.8633333333333333
