model,protocol,degree,seed,iid_loss,ood_loss,ood_iid_ratio
GNOT,D,0,0,0.022742847198969685,0.03131334459176287,1.376843643094144
GNOT,D,0,1,0.0221435262815794,0.0288709778978955,1.303811214653399
GNOT,D,0,2,0.020682254058192483,0.02890282151987776,1.3974696103507642
GNOT,D,1,0,0.28272103091701867,0.32665647711604834,1.1554021151398715
GNOT,D,1,1,0.2296160571742803,0.2863559432700276,1.2471076578615812
GNOT,D,1,2,0.18882100987248124,0.2715264530107379,1.4380097489898562
GNOT,D,2,0,0.5002769609354436,0.6338821354135871,1.2670624172424843
GNOT,D,2,1,0.4843311489373445,0.6066736470162869,1.2526009288218818
GNOT,D,2,2,0.49416440092027186,0.623934934027493,1.2626059927942042
GAOT,A,0,0,0.3190006630681455,0.3205462274700403,1.004845019402247
GAOT,A,0,1,0.3190305270627141,0.32058715308085084,1.0048792384618126
GAOT,A,0,2,0.31895607445389035,0.3204745825193822,1.0047608689318483
GAOT,A,1,0,0.5407944071292877,0.5299739933386445,0.9799916314813951
GAOT,A,1,1,0.5406661026924848,0.5296794358640909,0.979679386642364
GAOT,A,1,2,0.5407632260024547,0.5293671178817749,0.9789258818412551
GAOT,A,2,0,0.8641881185024977,0.8709171985834837,1.0077865917581075
GAOT,A,2,1,0.8467554077506065,0.8580842173099518,1.0133790814391608
GAOT,A,2,2,0.8479116933047771,0.8506315650045871,1.0032077299101858
GAOT,B,0,0,0.31993745869025586,0.31570183390751483,0.986761085119321
GAOT,B,0,1,0.3197920374013484,0.3154322037287056,0.9863666596952474
GAOT,B,0,2,0.31986578879877925,0.315519651658833,0.9864126227557262
GAOT,B,1,0,0.5418305069208145,0.5348694648966194,0.9871527314625486
GAOT,B,1,1,0.5413073962181807,0.5359933247789741,0.9901828951971965
GAOT,B,1,2,0.5405941633880138,0.5359051483497024,0.9913261826414765
GAOT,B,2,0,0.5160524990409613,0.68562126301229,1.3285882042746766
GAOT,B,2,1,0.5165520238503813,0.6844587131217122,1.3250528146608616
GAOT,B,2,2,0.518901203200221,0.6879199958965182,1.3257244185480916
GAOT,C,0,0,0.3254242476448417,0.3235586608015001,0.9942672162359038
GAOT,C,0,1,0.325346789136529,0.32355778956785797,0.9945012533444113
GAOT,C,0,2,0.3247505172342062,0.3226029163599014,0.9933869208505186
GAOT,C,1,0,0.5174225991219282,0.5217827950417996,1.0084267597265189
GAOT,C,1,1,0.5125556088238955,0.5178022925928235,1.0102363210520064
GAOT,C,1,2,0.5182075171172619,0.5216098552942277,1.0065655901633628
GAOT,C,2,0,0.6680116856843233,0.7927930309996009,1.1867951534222776
GAOT,C,2,1,0.6655697935447097,0.7877804050967098,1.1836180258438826
GAOT,C,2,2,0.6649007495492697,0.7932642167434096,1.1930565836798295
GAOT,D,0,0,0.3177599031664431,0.31396898778155446,0.9880698749366658
GAOT,D,0,1,0.31773892499506473,0.3139035671763122,0.9879292163564407
GAOT,D,0,2,0.31775510439649224,0.3140083698928356,0.9882087354323614
GAOT,D,1,0,0.5465118110179901,0.5397308627888561,0.9875923116528752
GAOT,D,1,1,0.5476018055900931,0.5413471910357476,0.9885781703228579
GAOT,D,1,2,0.5530672008916736,0.5415734614431859,0.9792181864519227
