model,protocol,degree,analysis_role,Q_geometry_cluster_mean,ci95_low,ci95_high,significantly_greater_than_1,significantly_less_than_1,bootstrap_repeats,iid_geometry_count_A,ood_geometry_count_A,iid_geometry_count_topology_protocol,ood_geometry_count_topology_protocol
GAOT,B,2,control,1.3157693788470852,1.2664465906323237,1.362649301473801,True,False,1000,200,200,200,200
GAOT,C,0,control,0.9892756213575175,0.9782505097193019,0.9995685212684609,False,True,1000,200,200,200,200
GAOT,C,1,control,1.029473841079948,1.0124715098661246,1.0453050130264068,True,False,1000,200,200,200,200
GAOT,C,2,primary_topology_degree,1.1782528984431149,1.1379315073338507,1.2219864172766006,True,False,1000,200,200,200,200
GAOT,D,0,control,0.9833214281126325,0.9727237481293727,0.9939969726738712,False,True,1000,200,200,200,200
GAOT,D,1,primary_topology_degree,1.005692525240931,0.9932812352302157,1.0177778116401408,False,False,1000,200,200,200,200
GAOT,D,2,primary_topology_degree,1.1528209939712843,1.117811944871954,1.1908990446331083,True,False,1000,200,200,200,200
TNO,B,0,control,1.4376529694066293,1.3137215569368663,1.5619246862392675,True,False,1000,200,200,200,200
TNO,B,1,primary_topology_degree,0.8328331394056115,0.7943738051179059,0.8743544549939725,False,True,1000,200,200,200,200
TNO,B,2,control,1.3436046826044596,1.2792019065173152,1.4082632119319995,True,False,1000,200,200,200,200
TNO,C,0,control,1.1605598245936004,1.0683168327885952,1.2652407972767488,True,False,1000,200,200,200,200
TNO,C,1,control,1.0990535646525195,1.0482607310394445,1.1542390919646293,True,False,1000,200,200,200,200
TNO,C,2,primary_topology_degree,0.7711286911511152,0.727785423236924,0.8197384003175892,False,True,1000,200,200,200,200
TNO,D,0,control,1.17137925104291,1.0771714471601497,1.27348911115889,True,False,1000,200,200,200,200
TNO,D,1,primary_topology_degree,0.8151501798686669,0.7709808273054007,0.8663298241784589,False,True,1000,200,200,200,200
TNO,D,2,primary_topology_degree,0.8878006353343139,0.823025732564561,0.9554550956460689,False,True,1000,200,200,200,200
