model,task,beta_k,beta_total,initial_rayleigh_quotient,log_lambda1_positive,log_nk,rho_H,target_norm_retention
RIGNO,D-k2,0.4607806682288466,0.4894741475985437,0.43343960016407235,-0.42374481217159876,0.5087453235411173,-0.06260554086697223,-0.07882630894136199
TNO,A-k0,,,0.9544025303321242,0.022371259587479812,-0.010933154323305203,,-0.9489963399652299
TNO,A-k1,,,0.8337521754416957,0.12902949935796165,-0.019904852956182183,-0.7415423386365348,-0.9074904628991973
TNO,A-k2,,,0.7971218375012784,0.02835128172009072,0.03216817699385575,-0.7994847037088586,-0.8791857044803084
TNO,B-k0,,0.38135474882560727,0.8679821341501109,-0.2530736934944243,0.3836637393396755,,-0.8653429758368189
TNO,B-k1,-0.26585736569073504,-0.26585736569073504,0.8531194831078929,0.22966233044644827,-0.2934170934478106,-0.6829893622555009,-0.9024898105058872
TNO,B-k2,,0.628477788771754,0.7707148158568244,-0.5712625702923152,0.6557966566607318,,-0.44678511909215207
TNO,C-k0,,0.24463032660995543,0.9031151304493741,-0.08863005446106186,0.26005254071095524,,-0.9000811712253095
TNO,C-k1,,0.25071254245728136,0.6938244498421231,-0.11844682034212696,0.2627498040442545,,-0.8882604741872037
TNO,C-k2,-0.30016373433094445,-0.30016373433094445,0.7818636356720196,0.26070016267443386,-0.33299848095402174,-0.8117580395510974,-0.8805916343586052
TNO,D-k0,,0.20691680654589267,0.9170834689532352,-0.12742877610077344,0.23099122339872577,,-0.9136131723986245
TNO,D-k1,-0.32563511428785447,-0.2237415538960676,0.8345040318295052,0.2609464155352422,-0.3080677485520889,-0.6769006271910656,-0.8973380872489299
TNO,D-k2,-0.2393659058984175,-0.12447890591160508,0.7649661402535088,-0.013489477492941148,-0.06994417298357551,-0.8060144083696672,-0.8721468190061161
Transolver,A-k0,,,0.8755474253773571,-0.024036329335765796,0.02066095361022852,,-0.8629111338886509
Transolver,A-k1,,,0.818108268680493,-0.05752214608556199,-0.007350865996364216,-0.7284866609154946,-0.7013673193739276
Transolver,A-k2,,,0.668653081149473,-0.012516953487825347,0.16393457533361083,-0.5894059171812202,-0.5554136214267941
Transolver,B-k0,,0.24754689670311358,0.8557550534500772,-0.18217323980794528,0.23695414968794287,,-0.8459612742309748
Transolver,B-k1,0.26533365353852045,0.26533365353852045,0.5487266972835028,-0.12989206334870498,0.2726275541210735,-0.3461355378044614,-0.3877487153548072
Transolver,B-k2,,0.6502632343133073,0.8463889695211095,-0.5214832758448458,0.6579381733749984,,-0.23308392017489502
Transolver,C-k0,,0.0581870040702098,0.8845573339434981,-0.004376064353198799,0.06120346169495651,,-0.8689855884267625
Transolver,C-k1,,0.08565945179192565,0.5002556241342624,-0.051483303400336515,0.09802773413746645,,-0.09222933651701797
Transolver,C-k2,0.5147031261569882,0.5147031261569882,0.49464233110193734,-0.4565137823009448,0.5273754673706955,-0.19766352722623515,-0.13196206794779403
Transolver,D-k0,,0.10775368984991404,0.8654642534199372,-0.07993874146060899,0.130607757484558,,-0.8582526723136402
Transolver,D-k1,0.22219238005620356,0.18231839456544413,0.4117455951605477,-0.14694316699281496,0.2124721804885979,-0.27975389908946285,-0.28844185828251073
Transolver,D-k2,0.32487934898404264,0.3390420344650364,0.6535948114254851,-0.3180676224444064,0.3771488308519349,-0.39718745213861123,-0.33530285453864966
