model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,A,1,A-k1,rho_H,all,1600,400,4,0.0,0.5,0.23611111380159855,0.19400841660345367,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.5951991015678096,-0.25392281923366167,0.0068346992633233124,-0.26735934107483883,-0.24048629739248453,1.338931031650916e-131,-0.6981114942377101,0.48735965838680473,-0.6981114942377074,3.94715966369462e-234,-0.8059667820441782,0.0
GAOT,A,1,A-k1,log_lambda1_positive,all,1600,400,400,0.5911348066759515,0.753851015588182,0.6849048044296137,0.03440606376731256,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.6278837188530451,-0.13525765384475244,0.03774396117981037,-0.20945953738431702,-0.061055770305187856,0.00038087290690219666,-0.06594765024987634,0.004349092573477598,-0.06594765024985855,0.00832203689922558,-0.06996370696228883,0.0051135481131455345
GAOT,A,1,A-k1,initial_rayleigh_quotient,all,1600,400,1600,4.022796692058106,16.786387100399214,8.760483059211474,2.5656560407689484,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.31865934722846784,0.024723037897174484,0.00046110107575340214,0.02381654670617242,0.025629529088176548,1.8611619336705482e-184,0.8988821450213786,0.8079891106382326,0.8988821450213773,0.0,0.9569407026308463,0.0
GAOT,A,1,A-k1,target_norm_retention,all,1600,400,1600,0.30599608959904107,0.826686670801375,0.6371089309523051,0.12916031726759405,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.8297346053727201,-0.4622278689982068,0.010416465672919413,-0.48270588319162117,-0.4417498548047924,2.1963335410952122e-156,-0.8460338040744264,0.7157731976366352,-0.8460338040744205,0.0,-0.8736143765634389,0.0
GAOT,A,2,A-k2,log_nk,all,1600,400,374,9.916206324943902,10.11382951201313,10.04340980982206,0.035149350400342214,0.8597194183245298,0.755379527807235,0.24320035837194195,ok,-6.275095108509334,0.7103976300811286,0.09551692028352764,0.5226183092734495,0.8981769508888076,6.343333015736574e-13,0.10267260866904655,0.01054166456960648,0.10267260866271245,3.878978305308955e-05,0.15613972824002703,3.4019433513721946e-10
GAOT,A,2,A-k2,beta_k,all,1600,400,1,1.0,1.0,1.0,0.0,0.8597194183245298,0.755379527807235,0.24320035837194195,constant_predictor,,,,,,,,,,,,
GAOT,A,2,A-k2,beta_total,all,1600,400,1,2.0,2.0,2.0,0.0,0.8597194183245298,0.755379527807235,0.24320035837194195,constant_predictor,,,,,,,,,,,,
GAOT,A,2,A-k2,rho_H,all,1600,400,4,0.0,0.5,0.23611111380159855,0.19400841660345367,0.8597194183245298,0.755379527807235,0.24320035837194195,ok,1.0436293761582731,-0.7789127537142575,0.023706598078719783,-0.8255182019706365,-0.7323073054578785,1.5184901639625114e-115,-0.6213626946602937,0.3860915983155009,-0.6213626946602931,1.5887883150196287e-171,-0.8892286778156463,0.0
GAOT,A,2,A-k2,log_lambda1_positive,all,1600,400,400,2.2572324471287004,2.4820940566972225,2.402940436605092,0.03782836822457726,0.8597194183245298,0.755379527807235,0.24320035837194195,ok,0.13254167747118606,0.3026199608512874,0.09758714700740068,0.11077072481840172,0.49446919688417307,0.0020654842323445995,0.04707073372680674,0.0022156539735912473,0.0470707337269267,0.059781552778192415,0.039878300377340366,0.11081969759944364
GAOT,A,2,A-k2,initial_rayleigh_quotient,all,1600,400,1600,9.663916100440069,39.04852027739478,19.594550100497294,5.72707233863774,0.8597194183245298,0.755379527807235,0.24320035837194195,ok,0.27333890223532886,0.029925694291614263,0.001035337397632141,0.02789029624112162,0.03196109234210691,6.760871695595834e-100,0.7047136654705122,0.49662135030088406,0.7047136654705113,1.8438886989488725e-240,0.9053305743478808,0.0
GAOT,A,2,A-k2,target_norm_retention,all,1600,400,1600,0.08394024928892163,0.7225126387866652,0.45501184297776304,0.21687702146741486,0.8597194183245298,0.755379527807235,0.24320035837194195,ok,1.2285527204230402,-0.8106015432141971,0.02541782552045933,-0.8605711402078207,-0.7606319462205735,8.455674199963683e-112,-0.722864264946195,0.522532745536202,-0.7228642649461943,8.254856457222116e-259,-0.9092758600686954,0.0
