model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,A,1,A-k1,rho_H,ood,800,200,4,0.0,0.5,0.23611111380159855,0.19406911061920515,0.529760063141584,0.5092460215091701,0.06905177837929012,ok,0.5879977641994845,-0.24665378990519227,0.009545008724590992,-0.265476132324567,-0.2278314474858175,1.6699986761021678e-65,-0.693217217011074,0.480550109960579,-0.6932172170110743,1.2920168534219592e-115,-0.8091636777657549,1.8192851809379051e-186
GAOT,A,1,A-k1,log_lambda1_positive,all,1600,400,400,0.5911348066759515,0.753851015588182,0.6849048044296137,0.03440606376731256,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.6278837188530451,-0.13525765384475244,0.03774396117981037,-0.20945953738431702,-0.061055770305187856,0.00038087290690219666,-0.06594765024987634,0.004349092573477598,-0.06594765024985855,0.00832203689922558,-0.06996370696228883,0.0051135481131455345
GAOT,A,1,A-k1,log_lambda1_positive,iid,800,200,200,0.59544945204644,0.753851015588182,0.6852804259716967,0.03580301041419249,0.5407301406562324,0.517007946968078,0.071673221298453,ok,0.6253817020775781,-0.1235283516252835,0.05296786596761957,-0.22797868155505574,-0.019078021695511274,0.020693372466735648,-0.06170626601630806,0.0038076632656625087,-0.06170626601620472,0.08111548062016685,-0.06955132998337711,0.04923920694065423
GAOT,A,1,A-k1,log_lambda1_positive,ood,800,200,200,0.5911348066759515,0.7538033002606184,0.6845291828875307,0.03296813507680907,0.529760063141584,0.5092460215091701,0.06905177837929012,ok,0.6344395717043969,-0.15292190775745956,0.049355788919074745,-0.2502493787130208,-0.05559443680189835,0.0022273903969659108,-0.07301115524438564,0.005330628790111702,-0.07301115524432925,0.038961402705254805,-0.0747570553722749,0.03450659979110658
GAOT,A,1,A-k1,initial_rayleigh_quotient,all,1600,400,1600,4.022796692058106,16.786387100399214,8.760483059211474,2.5656560407689484,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.31865934722846784,0.024723037897174484,0.00046110107575340214,0.02381654670617242,0.025629529088176548,1.8611619336705482e-184,0.8988821450213786,0.8079891106382326,0.8988821450213773,0.0,0.9569407026308463,0.0
GAOT,A,1,A-k1,initial_rayleigh_quotient,iid,800,200,800,4.216248802078913,16.082300568496414,8.944990359272502,2.5636117632449182,0.5407301406562324,0.517007946968078,0.071673221298453,ok,0.31471451528966315,0.025267285518343556,0.0006485505186052152,0.023988372078903662,0.02654619895778345,4.5539403186091954e-95,0.9037616728619344,0.8167851613342021,0.9037616728619347,2.6056981535015777e-296,0.960199031560987,0.0
GAOT,A,1,A-k1,initial_rayleigh_quotient,ood,800,200,800,4.022796692058106,16.786387100399214,8.575975759150445,2.556001565299346,0.529760063141584,0.5092460215091701,0.06905177837929012,ok,0.32287906238893455,0.024123319207369612,0.0006633908566834872,0.022815141266137397,0.025431497148601826,7.711531923825724e-90,0.8929421240329015,0.7973456368723915,0.8929421240329024,7.860837521299013e-279,0.9542013425020979,0.0
GAOT,A,1,A-k1,target_norm_retention,all,1600,400,1600,0.30599608959904107,0.826686670801375,0.6371089309523051,0.12916031726759405,0.5352451018989082,0.5136508643627165,0.07056632716354239,ok,0.8297346053727201,-0.4622278689982068,0.010416465672919413,-0.48270588319162117,-0.4417498548047924,2.1963335410952122e-156,-0.8460338040744264,0.7157731976366352,-0.8460338040744205,0.0,-0.8736143765634389,0.0
GAOT,A,1,A-k1,target_norm_retention,iid,800,200,800,0.30599608959904107,0.8234863240216965,0.6348690703804128,0.12861193755560305,0.5407301406562324,0.517007946968078,0.071673221298453,ok,0.8424835518231985,-0.4753002236920365,0.01476056897416946,-0.5044074242774945,-0.44619302310657843,7.478332413976008e-81,-0.8528887300195028,0.7274191857942538,-0.8528887300194872,1.9156911358452436e-227,-0.8805167039323499,6.138742056739536e-261
GAOT,A,1,A-k1,target_norm_retention,ood,800,200,800,0.3218475544678999,0.826686670801375,0.6393487915241975,0.12974812987448248,0.529760063141584,0.5092460215091701,0.06905177837929012,ok,0.816314847290182,-0.44819789752860373,0.014670945141339103,-0.47712836381039125,-0.4192674312468162,4.570996401792339e-77,-0.8421627999004926,0.7092381815362372,-0.8421627999004926,2.9963834384827534e-216,-0.8727154729929267,1.0751708215678807e-250
GAOT,A,2,A-k2,log_nk,all,1600,400,374,9.916206324943902,10.11382951201313,10.04340980982206,0.035149350400342214,0.8597194183245298,0.755379527807235,0.24320035837194195,ok,-6.275095108509334,0.7103976300811286,0.09551692028352764,0.5226183092734495,0.8981769508888076,6.343333015736574e-13,0.10267260866904655,0.01054166456960648,0.10267260866271245,3.878978305308955e-05,0.15613972824002703,3.4019433513721946e-10
GAOT,A,2,A-k2,log_nk,iid,800,200,193,9.916206324943902,10.097737680195356,10.02918406295987,0.0364899857700807,0.8551942261308428,0.7510429620742791,0.24599545742454276,ok,-8.379651352566846,0.9207972972401417,0.14363618883772733,0.6375529746705434,1.2040416198097401,1.0302103324420673e-09,0.13658740134958813,0.018656118206255012,0.13658740134527464,0.00010644502406354134,0.15862846070027165,6.536479312591658e-06
GAOT,A,2,A-k2,log_nk,ood,800,200,194,9.95408560529922,10.11382951201313,10.057635556684254,0.027124353892019008,0.8642446105182168,0.7584701180458066,0.24044143385560046,ok,-4.624222974495978,0.5457015770824574,0.16014417732149852,0.2299042185898928,0.861498935575022,0.0007931584641766114,0.06156094837259553,0.003789750364849187,0.06156094837516106,0.08183537964727448,0.09555532785300852,0.006837064150051709
GAOT,A,2,A-k2,beta_k,all,1600,400,1,1.0,1.0,1.0,0.0,0.8597194183245298,0.755379527807235,0.24320035837194195,constant_predictor,,,,,,,,,,,,
GAOT,A,2,A-k2,beta_k,iid,800,200,1,1.0,1.0,1.0,0.0,0.8551942261308428,0.7510429620742791,0.24599545742454276,constant_predictor,,,,,,,,,,,,
GAOT,A,2,A-k2,beta_k,ood,800,200,1,1.0,1.0,1.0,0.0,0.8642446105182168,0.7584701180458066,0.24044143385560046,constant_predictor,,,,,,,,,,,,
GAOT,A,2,A-k2,beta_total,all,1600,400,1,2.0,2.0,2.0,0.0,0.8597194183245298,0.755379527807235,0.24320035837194195,constant_predictor,,,,,,,,,,,,
GAOT,A,2,A-k2,beta_total,iid,800,200,1,2.0,2.0,2.0,0.0,0.8551942261308428,0.7510429620742791,0.24599545742454276,constant_predictor,,,,,,,,,,,,
GAOT,A,2,A-k2,beta_total,ood,800,200,1,2.0,2.0,2.0,0.0,0.8642446105182168,0.7584701180458066,0.24044143385560046,constant_predictor,,,,,,,,,,,,
GAOT,A,2,A-k2,rho_H,all,1600,400,4,0.0,0.5,0.23611111380159855,0.19400841660345367,0.8597194183245298,0.755379527807235,0.24320035837194195,ok,1.0436293761582731,-0.7789127537142575,0.023706598078719783,-0.8255182019706365,-0.7323073054578785,1.5184901639625114e-115,-0.6213626946602937,0.3860915983155009,-0.6213626946602931,1.5887883150196287e-171,-0.8892286778156463,0.0
GAOT,A,2,A-k2,rho_H,iid,800,200,4,0.0,0.5,0.23611111380159855,0.19406911061920515,0.8551942261308428,0.7510429620742791,0.24599545742454276,ok,1.040951436665522,-0.7867364121231873,0.0343950387003928,-0.8545619337781382,-0.7189108904682365,1.3202822544128556e-57,-0.6206668911328381,0.38522738974850135,-0.6206668911328374,2.260328205631799e-86,-0.8907384532255668,1.6800909810291617e-275
