scope,task,protocol,degree,metric,median,mean,q25,q75,minimum,maximum
all,C-k1,C,1,partial_rho_J_error_given_R,0.030293067135116928,-0.0003711016689570748,-0.4719421678613789,0.35262554550494246,-0.717023923874561,0.8334953874892446
all,C-k2,C,2,partial_rho_J_error_given_R,0.6085299969541969,0.3762913741784352,0.4561102635446688,0.7046735470295311,-0.8348817813560927,0.7335449497221751
all,D-k0,D,0,partial_rho_J_error_given_R,-0.022440528538668285,-0.0625890109137366,-0.06757814253608271,0.0005158864782598815,-0.27091100553499725,0.01471398618123252
all,D-k1,D,1,partial_rho_J_error_given_R,0.1831319079540835,0.10479249564181571,-0.016358757649035008,0.36254155584542347,-0.5567165911259653,0.47971862344289706
all,D-k2,D,2,partial_rho_J_error_given_R,0.4273358210196319,0.2032862326469025,0.12298493274227489,0.4984117583289801,-0.8242224585487856,0.645629838309018
iid,A-k0,A,0,partial_rho_J_error_given_R,-0.021012650793860853,-0.033088917298787636,-0.04343695364091694,0.025643227005961847,-0.23493284130498096,0.08814117408400975
iid,A-k1,A,1,partial_rho_J_error_given_R,0.10737080045793973,0.021736282660816498,-0.1047377868839313,0.23314151036769246,-0.4915789698310604,0.3076306338736916
iid,A-k2,A,2,partial_rho_J_error_given_R,-0.06852266370449905,-0.17582712842661943,-0.4452631521195588,0.04968056566067457,-0.6599945476434808,0.22383877730160842
iid,B-k0,B,0,partial_rho_J_error_given_R,-0.030546326628347092,-0.04867226271158512,-0.07044014031946985,0.012639964982082008,-0.23157328445462638,0.057335044139428915
iid,B-k1,B,1,partial_rho_J_error_given_R,0.25300649885708726,0.15253612886622014,0.04630121464754336,0.41229099549382453,-0.5129843705562398,0.47940286508895374
iid,B-k2,B,2,partial_rho_J_error_given_R,0.33913341897016314,0.18679083280757794,-0.047411718885589885,0.46986585465554137,-0.49972866737911614,0.6050235912377644
iid,C-k0,C,0,partial_rho_J_error_given_R,-0.04459676099653048,-0.0548542472802507,-0.10118791583609518,-0.016159194138886283,-0.22841421550647328,0.11521389312031838
iid,C-k1,C,1,partial_rho_J_error_given_R,-0.007362101327171461,-0.026365599942252904,-0.4751633693695626,0.3092997065274978,-0.6929603022971409,0.7657343882026051
iid,C-k2,C,2,partial_rho_J_error_given_R,0.7289285950261275,0.4730646092568784,0.6011527073188648,0.7898018718145086,-0.7871744619403817,0.7990512186023173
iid,D-k0,D,0,partial_rho_J_error_given_R,-0.034268025080675474,-0.059929370411868445,-0.06926192343736189,0.007456419955726418,-0.2591778787194093,0.02769969433127983
iid,D-k1,D,1,partial_rho_J_error_given_R,0.16876755663757453,0.08212188536186191,-0.08261976862065157,0.37636641085343014,-0.5969481807837154,0.4729938944610826
iid,D-k2,D,2,partial_rho_J_error_given_R,0.603823682039434,0.38162140775683023,0.3989129586157297,0.6930103845015413,-0.7762311641660773,0.8049635771647854
ood,A-k0,A,0,partial_rho_J_error_given_R,-0.011065019760095697,-0.02580623121402048,-0.027893570911307848,0.0433188818481043,-0.23366464933464975,0.07301354048159253
ood,A-k1,A,1,partial_rho_J_error_given_R,0.17718463645229585,0.08389639777338931,-0.0779560337049866,0.31680347860080266,-0.4605311995728414,0.4092001444156947
ood,A-k2,A,2,partial_rho_J_error_given_R,-0.07070313988810695,-0.16481783984354728,-0.4281727977406862,0.0449674314726885,-0.6258055209659206,0.2421098234461098
ood,B-k0,B,0,partial_rho_J_error_given_R,-0.08673302422465991,-0.1033767134206176,-0.1536420654946566,-0.02268508315460853,-0.26434741203909373,-0.005165971319378586
ood,B-k1,B,1,partial_rho_J_error_given_R,0.10698284430304843,0.025266497442441197,-0.1712829881491777,0.3303623252735066,-0.5991096774012563,0.39595908681940034
ood,B-k2,B,2,partial_rho_J_error_given_R,-0.30860079155500403,-0.33761519114889116,-0.40165197671667485,-0.28154127122553463,-0.5296612513725842,-0.17363784285781136
ood,C-k0,C,0,partial_rho_J_error_given_R,-0.006754244530205477,-0.02284725453911419,-0.03911341779929592,0.03638119697479861,-0.23032339436150873,0.10588848759976063
ood,C-k1,C,1,partial_rho_J_error_given_R,0.2569971021523357,0.08767530506365166,-0.4859973822621496,0.5059644287796674,-0.7918446152722637,0.9486109140943689
ood,C-k2,C,2,partial_rho_J_error_given_R,0.18563501181280834,0.02530072039952658,-0.2920629418813719,0.41906238947525676,-0.7160453764070163,0.4510037529285848
ood,D-k0,D,0,partial_rho_J_error_given_R,-0.024095094283612752,-0.058637636353792356,-0.048519270511348654,-0.01025454192592196,-0.2603347808606785,0.01900083836576888
ood,D-k1,D,1,partial_rho_J_error_given_R,0.1312984041382288,0.06448247753238001,-0.07082816293580109,0.2968515229424767,-0.5497498952052942,0.46021574153970174
ood,D-k2,D,2,partial_rho_J_error_given_R,-0.03863857837765812,-0.11540021615130458,-0.33738366062016795,0.09330949023761809,-0.6187299475489967,0.30327898232144657
all,A-k0,A,0,partial_rho_J_error_given_q,0.06972907445620123,0.0532906638819353,0.04855004342593667,0.1454475433397694,-0.20925302586383146,0.1773614608595669
all,A-k1,A,1,partial_rho_J_error_given_q,0.5136583436282358,0.433283770642672,0.2706069354447264,0.596921865242185,0.11203550829899167,0.6460842564701774
all,A-k2,A,2,partial_rho_J_error_given_q,0.3359745767861594,0.30111236206986797,0.18448348419388066,0.42010996088895874,0.040597631987320575,0.5119858446065556
all,B-k0,B,0,partial_rho_J_error_given_q,0.04116414782464722,0.002572004392117309,-0.028601580674348055,0.09361022081614107,-0.24262538624245908,0.11649369530657597
all,B-k1,B,1,partial_rho_J_error_given_q,0.3577614736964324,0.3742489087241981,0.25131772096508764,0.488746737472856,0.1409639256590991,0.6407616171735883
all,B-k2,B,2,partial_rho_J_error_given_q,0.8324464354958965,0.8002194364852891,0.7749105557681952,0.8629798420332955,0.632497682943755,0.8750364915714639
all,C-k0,C,0,partial_rho_J_error_given_q,0.01749664625601804,-0.00417268756564733,-0.04093308867923432,0.04576183722494394,-0.2211913854281452,0.16638806696529101
all,C-k1,C,1,partial_rho_J_error_given_q,0.3853253205706043,0.41802959930259065,0.3080942758499198,0.536356530298584,0.0654853205636875,0.8029907729597123
all,C-k2,C,2,partial_rho_J_error_given_q,0.6441639494922198,0.5963450404977788,0.6119184744896677,0.735270309602652,0.14486988701252218,0.7780633778614315
all,D-k0,D,0,partial_rho_J_error_given_q,0.0575793461367084,0.005244336597763123,0.0074744282511074855,0.08347009985135032,-0.26700258203104876,0.10043676929873925
all,D-k1,D,1,partial_rho_J_error_given_q,0.3412384321351566,0.35753512267662774,0.22030209962855374,0.43787152450491545,0.13860697467344035,0.6740543530281586
all,D-k2,D,2,partial_rho_J_error_given_q,0.5334194813478932,0.5319016063187821,0.4909929024692795,0.662162834694637,0.23590213778010896,0.7067405421168378
iid,A-k0,A,0,partial_rho_J_error_given_q,0.06329389459283732,0.0442663553845635,0.032808377440853354,0.12917476544892084,-0.21684705440335517,0.1820758034005875
iid,A-k1,A,1,partial_rho_J_error_given_q,0.5173603249406713,0.4582254689800839,0.33380549172393553,0.5910053159600199,0.16455712609833154,0.6619008442826696
