scope,degree,metric,median,mean,q25,q75,minimum,maximum
ood,1,rho_R_error,0.8137675488555453,0.7465362631425988,0.7051460392906864,0.8846399877187309,0.14749984765601196,0.9542013425020979
ood,2,rho_R_error,0.7383308489544516,0.6938108565404009,0.6509203217505029,0.824974113240802,-0.052415800649688524,0.929020873470115
all,0,rho_q_error,-0.8204375929443722,-0.7503551448041456,-0.8702978445987675,-0.7396928096944569,-0.9367811130004349,-0.39638840903579586
all,1,rho_q_error,-0.6664515699029571,-0.5646918272160192,-0.8268074369853271,-0.37765327398565396,-0.9509827962823424,0.3995640359625141
all,2,rho_q_error,-0.3594118357077484,-0.4122150547838684,-0.7095511160355923,-0.1777877954312223,-0.9566173609833443,0.4419122107078949
iid,0,rho_q_error,-0.8158079387624044,-0.7505669637765059,-0.8701475158554937,-0.7245737005057821,-0.932718168309638,-0.3591722565191509
iid,1,rho_q_error,-0.6405306609854078,-0.5658837671205891,-0.8310028043012568,-0.3743654931492081,-0.9481027079729814,0.3411033220364407
iid,2,rho_q_error,-0.4125866837291934,-0.40070201281564505,-0.7401518400810002,-0.11906922510816426,-0.9506444619444718,0.6139563733693334
ood,0,rho_q_error,-0.8934715444867883,-0.8201422638941623,-0.9245977474183555,-0.8698144743194911,-0.9643415927212388,-0.36570554016490653
ood,1,rho_q_error,-0.750884333413021,-0.6475530977392153,-0.8376367111511113,-0.5560767966043697,-0.9573432614738462,0.4543282333253646
ood,2,rho_q_error,-0.6675292031706299,-0.6153831099736095,-0.8049006014071898,-0.41661820955970247,-0.9529134264272289,0.10299726249572266
all,0,partial_rho_J_error_given_R,-0.031815273184542435,-0.054342689608494595,-0.08366424293863553,0.0019380555138373851,-0.27091100553499725,0.10108339705132138
all,1,partial_rho_J_error_given_R,0.10031786425269316,0.05712759216441843,-0.08486750763136958,0.35568893800297213,-0.717023923874561,0.8334953874892446
all,2,partial_rho_J_error_given_R,0.12115699359219702,0.08941084579424463,-0.1230353122462488,0.49165899323838935,-0.8348817813560927,0.7335449497221751
iid,0,partial_rho_J_error_given_R,-0.033916933171002195,-0.04913619942562297,-0.075086021316009,0.0162388597003065,-0.2591778787194093,0.11521389312031838
iid,1,partial_rho_J_error_given_R,0.10737080045793973,0.05750717423666141,-0.13140759950508438,0.33633649675015315,-0.6929603022971409,0.7657343882026051
iid,2,partial_rho_J_error_given_R,0.36924679691587625,0.21641243034866678,-0.16415040403929568,0.6595849182123761,-0.7871744619403817,0.8049635771647854
ood,0,partial_rho_J_error_given_R,-0.021412873771665033,-0.05266695888188616,-0.07077678615429167,0.0035125507935440782,-0.26434741203909373,0.10588848759976063
ood,1,partial_rho_J_error_given_R,0.17718463645229585,0.06533016945296555,-0.16799335508474164,0.3686081008809985,-0.7918446152722637,0.9486109140943689
ood,2,partial_rho_J_error_given_R,-0.1581038472646256,-0.1481331316860541,-0.40957583985586365,0.07803045763485085,-0.7160453764070163,0.4510037529285848
all,0,partial_rho_J_error_given_q,0.0485805266995607,0.0142335793265421,-0.012664480791696247,0.09322168407388008,-0.26700258203104876,0.1773614608595669
all,1,partial_rho_J_error_given_q,0.3790624679428894,0.39577435033652214,0.2233345009947478,0.5586470843843783,0.0654853205636875,0.8029907729597123
all,2,partial_rho_J_error_given_q,0.6167205790816404,0.5573946113429296,0.42010996088895874,0.7599168840520499,0.040597631987320575,0.8750364915714639
iid,0,partial_rho_J_error_given_q,0.04277534524971193,0.018326017374608386,-0.002259496821413853,0.10673664423886466,-0.2539317829849791,0.1820758034005875
iid,1,partial_rho_J_error_given_q,0.42154301207489603,0.411620263711927,0.28437078610002314,0.570524812267053,0.05332757296137358,0.7382364500337477
iid,2,partial_rho_J_error_given_q,0.6687854277158429,0.5869686811449611,0.3987631039753555,0.7942910678044858,-0.03484720333031477,0.8939637160116489
ood,0,partial_rho_J_error_given_q,0.04464786389530789,0.014505184285503127,-0.014904856796832084,0.09354546959572674,-0.25018176606226233,0.18346668367463054
ood,1,partial_rho_J_error_given_q,0.4441755592689757,0.46559724042932144,0.3102967324618705,0.6197605481021922,0.14248737878934337,0.9366305024138791
ood,2,partial_rho_J_error_given_q,0.3577007695351541,0.3577647729396867,0.2013885542804047,0.5185143704115016,-0.03916472574353585,0.6635391957166057
all,0,partial_rho_J_error_given_R_q,-0.1508945236400535,-0.1500219848935188,-0.19454198040255472,-0.10081984882877709,-0.24964051635297826,-0.04719189175502881
all,1,partial_rho_J_error_given_R_q,0.06232686941049339,0.07739081420169545,-0.0949967824474045,0.23445895411751577,-0.1927138706367315,0.5455634280749612
all,2,partial_rho_J_error_given_R_q,0.10667050483429363,0.062888252217458,-0.08046629097124217,0.23181774134833627,-0.47410731890575886,0.4266113107433074
