model,task,beta_k,beta_total,initial_rayleigh_quotient,log_lambda1_positive,log_nk,rho_H,target_norm_retention
RIGNO,A-k0,,,0.8281137119645129,0.0017402270623009253,0.0011296559667710593,,0.8155887445311988
RIGNO,A-k1,,,0.742549828920233,0.008802125489257961,0.00024561966193958895,0.5186151639097651,0.6465690593880187
RIGNO,A-k2,,,0.5625526842564131,3.651406879212615e-05,0.039796702075585055,0.4590745806563322,0.4464868553135136
RIGNO,B-k0,,0.03070264412483481,0.80713310146495,0.014844668275269202,0.026896163212591584,,0.7929876653882931
RIGNO,B-k1,0.005999643342902261,0.005999643342902261,0.5623283948587396,0.0004889654873192484,0.003809292612000914,0.25979983778618077,0.44225988604345456
RIGNO,B-k2,,0.29012702495147435,0.6527248010621136,0.2001098099415407,0.3023397728800482,,0.11595508377598696
RIGNO,C-k0,,0.0019650523907174255,0.8273738241751041,0.00014088495262420953,0.0021011025346021617,,0.8183514662765247
RIGNO,C-k1,,0.03268972883550936,0.4692149801102147,0.004606350841241502,0.03629113075592483,,0.282199182253445
RIGNO,C-k2,0.23745422394820748,0.23745422394820748,0.27378225924062605,0.17872737633970437,0.2594884862872977,0.04048245484635027,0.03440745932919331
RIGNO,D-k0,,0.0077779298514978334,0.8219893648195059,0.001878615024629604,0.009040964521878636,,0.8128343411464752
RIGNO,D-k1,0.010773125988280507,0.018052579665339574,0.5376014738550613,0.004376342289371227,0.007939550971473919,0.23699685451481145,0.453863899084996
RIGNO,D-k2,0.21231882421342096,0.23958494116732132,0.1878698869903911,0.1795596658423173,0.2588218042248759,0.0039194537472458935,0.00621358698131913
TNO,A-k0,,,0.9108841899043593,0.0005004732555303759,0.00011953386346075234,,0.9005940532673932
TNO,A-k1,,,0.6951426900537583,0.016648611704569438,0.0003962031712317904,0.5498850399905407,0.8235389402529908
TNO,A-k2,,,0.6354032238214165,0.0008037951751770356,0.0010347916109807453,0.6391757914644403,0.7729675029625358
TNO,B-k0,,0.14543144445184186,0.7533929852037797,0.0640462943389718,0.14719786488429243,,0.7488184658301242
TNO,B-k1,0.07068013889201774,0.07068013889201774,0.7278128524582737,0.05274478602607757,0.08609359072742451,0.46647446895417555,0.8144878580669361
TNO,B-k2,,0.3949843309794324,0.5940013273812195,0.32634092421733485,0.430069254886954,,0.19961694264219032
TNO,C-k0,,0.059843996697293456,0.815616938846589,0.0078552865538426,0.06762732393006021,,0.8101461147943263
TNO,C-k1,,0.06285677894539421,0.48139236719872847,0.014029649249042042,0.06903745952566342,,0.7890066700032823
TNO,C-k2,0.09009826740749782,0.09009826740749782,0.6113107447862671,0.06796457481923845,0.1108879883177879,0.6589511147758407,0.7754416265023635
TNO,D-k0,,0.04281456483115054,0.8410420890273007,0.01623809297854073,0.053356945287196145,,0.8346890287803013
TNO,D-k1,0.10603822765726456,0.05006028293982656,0.6963969791397029,0.0680930317806887,0.09490573769779342,0.4581944590916581,0.805215642827588
TNO,D-k2,0.05729603690657015,0.01549499801695009,0.585173195734346,0.00018196600303255206,0.004892187334357034,0.6496592264995039,0.7606400739024886
Transolver,A-k0,,,0.7665832940849173,0.0005777451279376233,0.0004268750040967717,,0.7446156249889901
Transolver,A-k1,,,0.6693011392833912,0.003308797290287435,5.403523090363738e-05,0.530692815131807,0.4919161166857623
Transolver,A-k2,,,0.4470969429306859,0.00015667412461883856,0.026874544986444038,0.34739933520823496,0.30848429086642526
Transolver,B-k0,,0.061279466067342026,0.7323167115053428,0.03318708930215686,0.05614726905440537,,0.7156504774984966
Transolver,B-k1,0.07040194770009844,0.07040194770009844,0.3011009883116623,0.016871948120970814,0.07432578326602757,0.11980981053118478,0.15034906625929678
Transolver,B-k2,,0.4228422738996026,0.716374287727007,0.27194480698617773,0.43288263998358967,,0.05432811384409819
Transolver,C-k0,,0.0033857274426667416,0.7824416770332288,1.9149939224027968e-05,0.0037458637234394354,,0.7551359528934086
Transolver,C-k1,,0.0073375416812933025,0.25025568947795795,0.0026505305289798997,0.009609436660139248,,0.008506250514370484
Transolver,C-k2,0.264919308075776,0.264919308075776,0.24467103571795745,0.20840483343318505,0.27812488358472576,0.03907086999551668,0.01741398737705868
Transolver,D-k0,,0.011610857676271347,0.7490283739477304,0.006390202386305943,0.01705838631513057,,0.7365976495335247
Transolver,D-k1,0.04936945375503954,0.03323999699692104,0.1695344351341117,0.021592294325878503,0.0451444274815207,0.07826224405575721,0.08319870560947185
Transolver,D-k2,0.10554659139629463,0.114949501134191,0.4271861775223138,0.10116701244742266,0.1422412406129393,0.1577578721363615,0.11242800426176791
