model,protocol,degree,task,scope,n,rho_J_error,p_J_error,rho_R_error,p_R_error,rho_q_error,p_q_error,rho_R_q,partial_rho_J_error_given_R,partial_p_J_error_given_R,partial_rho_J_error_given_q,partial_p_J_error_given_q,partial_rho_J_error_given_R_q,partial_p_J_error_given_R_q,rank_R2_R,rank_R2_q,rank_R2_R_q,rank_R2_R_J,rank_R2_q_J,rank_R2_R_q_J,J_median,J_q25,J_q75,delta_rank_R2_J_over_R,delta_rank_R2_J_over_q,delta_rank_R2_J_over_R_q
GNOT,A,2,A-k2,ood,800,0.19987582793098116,1.1831452602827435e-08,0.8093834521616441,1.2054725601331622e-186,-0.7306727744887103,2.0710916834020673e-134,-0.9125660586969669,0.06982446950931794,0.04835261713747938,0.40337342420832617,1.1743736415354858e-32,0.06547923171922512,0.06415180973133813,0.6551015726331003,0.5338827033790294,0.6554788690943891,0.6567831099272206,0.6097247043468462,0.6569560137052393,1.064557010734342,0.8650877584020948,1.2625218848237507,0.0016815372941202389,0.07584200096781679,0.001477144610850134
GNOT,B,0,B-k0,all,1600,0.3953222393836873,5.4236363419162155e-61,0.565769049128535,4.7119984201339024e-136,-0.5440743736618647,5.8343838980837464e-124,-0.9953604483829877,-0.11235696633019585,6.636116465244023e-06,-0.044113507688487,0.07772861310885824,-0.23837472728336245,4.1550607397927015e-22,0.3200946169518065,0.29601692407555036,0.35937657423058234,0.3286778022594805,0.2973868762399229,0.3957784056367252,0.030972867194587375,0.013798623446911927,0.06584535439276445,0.00858318530767399,0.0013699521643725232,0.03640183140614284
GNOT,B,0,B-k0,iid,800,0.527678582310285,1.5018259252778506e-58,0.6820385031851613,1.4871252575552583e-110,-0.6587749433983492,1.0230204862528293e-100,-0.9954332897395154,-0.0835373226284796,0.01811644340130328,-0.0002143919928363526,0.9951692855897092,-0.2099699129991498,2.015781587947794e-09,0.4651765198270552,0.43398442604949805,0.5097279320291153,0.46890877707170353,0.4339844520657964,0.5313427353276663,0.029777172348442127,0.013088453662892019,0.06283039020625204,0.003732257244648318,2.6016298337872e-08,0.021614803298551033
GNOT,B,0,B-k0,ood,800,0.5432939113967366,1.2605880338024435e-62,0.7865078773560584,3.3736102221819985e-169,-0.7820976829651297,4.419221550096743e-166,-0.9962351347423981,-0.16406783390167787,3.0872303480674084e-06,-0.09745301668087224,0.0058041317872166345,-0.19384349987692814,3.2639983284634236e-08,0.6185946411431326,0.6116767856994245,0.6188740463572144,0.6288614075160248,0.6153647263934335,0.6331949693348045,0.03275522035153984,0.014575797434962873,0.06733044869893397,0.010266766372892255,0.0036879406940090176,0.014320922977590023
GNOT,B,1,B-k1,all,1600,0.24537156362170454,2.284432000364471e-23,0.15712723227626263,2.624630976593871e-10,-0.09938990698824493,6.823632917666836e-05,-0.9292929489425581,0.19408735686019984,4.801095052319245e-15,0.22999980162345066,1.1855839550489282e-20,0.15603281706745506,3.4984943363213625e-10,0.024688967122798555,0.009878353611131985,0.04062646151151661,0.061428838241484485,0.06225569835336087,0.0639835999311309,0.40928451995755444,0.3397323415008917,0.49921287746002996,0.03673987111868593,0.05237734474222888,0.023357138419614287
GNOT,B,1,B-k1,iid,800,0.4452625472852301,3.2335412831862896e-40,0.4459589468108544,2.3703548749858045e-40,-0.325309703608912,3.559167461320611e-21,-0.9183045051632893,0.3146784042986388,7.56821788816818e-20,0.43815832375080244,7.374887015412517e-39,0.21470284294594166,8.521231272063899e-10,0.19887938224064639,0.10582640326211801,0.2441355480191154,0.2782083471161787,0.27749227954033107,0.27897886656137083,0.4255318183212533,0.35170924693673977,0.508701444397996,0.07932896487553232,0.17166587627821306,0.03484331854225542
GNOT,B,1,B-k1,ood,800,0.42132140831470055,9.129871361410267e-36,0.41097164995570307,5.97721599607718e-34,-0.34584330600516566,6.821097036718057e-24,-0.9315524321131752,0.24297598438943296,3.253606311294465e-12,0.35158647141977833,1.088099587910801e-24,0.2615772565782114,5.5519915969677943e-14,0.16889769706731284,0.11960759230858253,0.1792514981119535,0.21796375714990823,0.2284355802781014,0.23540929475338257,0.397050778453767,0.3228559770153962,0.48172198978578223,0.0490660600825954,0.10882798796951887,0.05615779664142906
GNOT,B,2,B-k2,all,1600,0.7784466409947818,0.0,0.8583992649997129,0.0,-0.258428916378483,7.929181270030964e-26,-0.251315989771871,0.014650211601008808,0.5581565115158041,0.847018873468349,0.0,0.16989702958116154,7.899638034679883e-12,0.7368492981520472,0.0667855048205569,0.7387954607476438,0.736905777845077,0.7363118193374028,0.7463351299456892,0.6392214349539931,0.3611294841049666,0.9983249486924626,5.6479693029798383e-05,0.6695263145168459,0.0075396691980453845
GNOT,B,2,B-k2,iid,800,0.8296646088509513,3.225002618148962e-204,0.8750993282802004,9.432160861603873e-254,-0.42264241819127846,5.2975880719994266e-36,-0.5803430552235238,0.39239316793082407,7.595843448543291e-31,0.8686201500669042,1.3856772232196481e-245,0.3739924980200856,5.829868872904106e-28,0.765798834356458,0.17862661365457155,0.776748235905682,0.8018593495009139,0.7983536263615013,0.8079745468996763,0.37669609851004604,0.2310042017417676,0.5899496737126897,0.03606051514445585,0.6197270127069298,0.03122631099399431
GNOT,B,2,B-k2,ood,800,0.4679935124898634,8.758561287631497e-45,0.664622749410546,4.1731573958250747e-103,-0.40887232636300996,1.3714192139858937e-33,-0.2713286270759798,-0.31259220102403196,1.3592953282453537e-19,0.5985499652733393,6.433739536736205e-79,-0.07480841540483413,0.03438241570519357,0.44172339903403335,0.1671765792654999,0.49810524307230764,0.4962747741394803,0.4655456143675448,0.5009139962063275,0.915423808984224,0.685322258115284,1.227377195817154,0.05455137510544694,0.29836903510204493,0.002808753134019848
